GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
ABCB7,"Anemia, sideroblastic, and spinocerebellar ataxia",XL,N/A,Hematologic; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",4045952; 10196363; 20301496; 22398176 
ABCC1,"Deafness, autosomal dominant 77",AD,N/A,Audiologic/Otolaryngologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",31273342
ABCC11,"Apocrine gland secretion, variation in",AR,N/A,Dermatologic,The clinical relevance is unclear,16444273; 19710689
ABCC2,Dubin-Johnson syndrome,AD/AR,N/A,Gastrointestinal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",13193360; 5926936; 5532959; 520367; 2035335; 8621134; 9425227; 16952291; 16863439; 16549534; 19881259; 21044052; 22955427; 23007012; 23069858; 23115734 
ABCC6,"Pseudoxanthoma elasticum (including Pseudoxanthoma elasticum, forme fruste)",AD/AR/Digenic,Pediatric,Cardiovascular; Dermatologic; Hematologic; Ophthalmologic,"Preventive measures (eg, weight control, avoidance of smoking, and medical management of hypertension and hypercholesterolemia) related to cardiovascular risk factors may be beneficial by decreasing contributory factors related to atherosclerosis; Awareness may allow surveillance for and early detection and treatment of  cardiovascular (eg, surgical interventions related to vascular disease) and hematologic manifestations (eg, interventions related to GI bleeding); Standard treatment for macular degeneration (including intraocular injection of anti-angiogenic drugs) may be beneficial, and awareness of ophthalmologic aspects may allow early detection and treatment; Circumstances such as contact sports and the use of medications that increase the risk of GI bleeding should be avoided",14068068; 3652487; 3342167; 2012127; 1600795; 8413390; 10619263; 10835643; 10835642; 10811882; 11209132; 15098239; 16086317; 18157818; 18800149; 19298904;  20034067; 20075945; 20301292; 21210805; 21386758; 21671388; 22209248; 23675997; 23746223; 23935882; 23968982; 23978319; 24008425; 24749718
ABCC8,"Diabetes mellitus, transient neonatal, 2; Diabetes, permanent neonatal 3; Hyperinsulinemic hypoglycemia, familial, 1; Hypoglycemia, leucine-induced",AD/AR,Pediatric,Endocrine,"Prompt treatment (eg, of ketoacidosis and dehydration) can avoid morbidity; Individuals with neonatal diabetes mellitus may respond well to sulfonylurea treatment; Non-neonatally affected individuals may respond to diazoxide; Individuals with leucine-induced hypoglycemia may have episodes triggered by high-protein (high leucine)  feedings, and may respond to diazoxide",7847376; 7716548; 923011; 8751851; 9727845; 10426386; 10322395; 11808881; 10334322; 1018078; 12559865; 12941782; 15356046; 15579781; 16885549; 16882742; 16613899; 8596924; 19254908; 20301620; 21716120; 23273570
ABCC9,"Cardiomyopathy, dilated, 1O; Atrial fibrillation, familial 12; Cantu syndrome",AD,Pediatric,Cardiovascular; Dermatologic; Musculoskeletal,"Surveillance for related cardiac complications, which have been reported to include cardiomyopathy and arrhythmias, may allow early medical intervention, decreasing morbidity and mortality; Cantu syndrome, which may be clinically recognizable,can include cardiovascular malformations that would benefit from surveillance/intervention similar to other ABCC9-related disorders",15034580; 16563363; 17245405; 22610116; 22608503 
ABCD1,Adrenoleukodystrophy,XL,Pediatric,Biochemical; Endocrine; Neurologic,"For individuals with adrenal insufficiency, corticosteroid treatment is indicated; In asymptomatic individuals with ALD, medical treatment (eg, with oleic and erucic acids) may be beneficial in combination with dietary measures, though the benefit of such treatment in other affected individuals, such as symptomatic individuals, may not warrant such treatment; BMT/HSCT has been reported as effective if performed early",169765; 61263; 965973; 200861; 200862; 218453; 7438498; 7436359; 6299222; 7202134; 6280106; 6387532; 2682348; 2309698; 7904210; 8094785; 8338333; 8441467; 7849723; 8040304; 7581394; 7825602; 8566952; 8636252; 9062496; 9183487; 10073906; 9894883; 11748843; 11085690;  11204280; 11916318; 11220738; 12210797; 12486501; 12913200; 15073029; 15812458; 16240348; 15668429; 16305618; 16380594; 16009761; 16313334; 17372139; 17353371; 18759549; 19892975; 20301491 
ABCD3,Biochemical; Gastrointestinal; Neurologic,AR,Pediatric,Biochemical; Craniofacial; Gastrointestinal; Neurologic,"Early interventions, such as with bile replacement therapy, may be beneficial, though liver transplant may be necessary",1301993; 9199576; 10447258; 17092750; 25168382
ABCD4,"Methylmalonic aciduria and homocystinuria, cblJ type",AR,Pediatric,Allergy/Immunology/Infectious; Biochemical; Cardiovascular; Neurologic,"Administration of hydroxocobalamin/methylcobalamin has been described as beneficial; Due to infectious risks, administration of G-CSF has been described, and early and aggressive treatment of infections may be benefiical; Surveillance for cardiovascular manifestations may allow early management",22922874; 23141461 
ABCG2,"Blood group, junior system",BG,Pediatric,Hematologic,"Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",567888; 18522708; 20890084; 22246505; 22246507
ABCG5,Sitosterolemia 2,AR,Pediatric,Biochemical; Cardiovascular; Hematologic,"In some individuals, medical (eg, with bile acid resins/lipid-lowering agents) and dietary (eg, with cholesterol and plant fat restriction) treatment may be beneficial for some parameters, and may, along with preventive measures related to cardiovascular manifestations, reduce morbidity and mortality ",11099417; 11138003; 12840092; 16029460; 16472606; 17018391; 17785700; 17976197; 19111681; 20521169; 20543520; 20719861; 21576934; 24166850
ABCG8,Sitosterolemia 1,AR,Pediatric,Biochemical; Cardiovascular; Hematologic,"In some individuals, medical (eg, with bile acid resins/lipid-lowering agents) and dietary (eg, with cholesterol and plant fat restriction) treatment may be beneficial for some parameters, and may, along with preventive measures related to cardiovascular manifestations, reduce morbidity and mortality ",11099417; 12840092; 16029460;  15996216
ABHD12,"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract",AR,N/A,Audiologic/Otolaryngologic; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19005174; 20797687; 22938382; 24697911
ABHD5,Chanarin-Dorfman syndrome,AR,N/A,Biochemical; Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10712205; 11590543; 21757733; 22245374; 22373837; 25468645
ABL1,Congenital heart defects and skeletal malformations syndrome,AD,Adult,Cardiovascular; Musculoskeletal,"The condition can include adult-onset aortic root dilation, and awareness may allow early identification and management",28288113
ABO,"Blood group, ABO system",BG,Pediatric,Hematologic,"Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",4014172; 2647864; 2333095; 1303212; 1572640; 8075282; 7772867; 9099833; 11520811; 12014997; 12829588; 17959777 
ACAD8,Isobutyryl-CoA dehydrogenase deficiency,AR,Pediatric,Biochemical; Cardiovascular; Hematologic; Musculoskeletal; Neurologic,"Metabolic precautions may be beneficial to prevent and treat acute decompensation; Medical treatment (eg, with oral L-carnitine) has been reported as allowing growth catch-up and normalization of cardiac status",9889013; 12359132; 17304052; 16857760; 17924841; 21290185; 22241096 
ACAD9,"Mitochondrial complex I deficiency, nuclear type 20",AR,Pediatric,Biochemical; Cardiovascular; Gastrointestinal; Musculoskeletal; Neurologic,"Individuals may present early in life with findings including neurologic abnormalities, cardiomyopathy, and lactic acidosis, and early institution of medical treatment (eg, with riboflavin) has been reported as leading to marked decreases in morbidity/mortality",17564966; 21057504; 20929961; 21057504; 22499348; 25721401
ACADM,"Acyl-CoA dehydrogenase, medium chain, deficiency of",AR,Pediatric,Biochemical; Musculoskeletal; Neurologic,"Dietary treatment (eg, with frequent feedings in infancy, and low-fat diet for toddlers, as well as bedtime administration of uncooked cornstarch to avoid overnight hypoglycemia); In order to avoid/treat catabolism, simple oral (or IV if necessary) carbohydrates can be effective; Fasting should be avoided, as should infant formulas whose primary fat source is medium-chain triglycerides",947635; 6402754; 6857268; 6646897; 3462713; 3944676; 3822638; 2502671; 2393404; 1361190; 8120710; 7603790; 9158144; 11349232; 11524729; 11409868; 15915086; 15832312; 19780764; 20923556; 20434380; 21239873; 20301597; 23574375
ACADS,"Acyl-CoA dehydrogenase, short-chain, deficiency of",AR,Pediatric,Biochemical;Musculoskeletal; Neurologic,"Clinical manifestations range from infantile acute acidosis and muscle weakness to chronic adult myopathy, and in the infantile forms, medical/dietary therapy (eg,  IV glucose/carnitine in the initial phase, and low-fat, diet with MCT oil and carnitine and riboflavin, as well as  avoidance of fasting) can be effective",3571488; 3335634; 2808706; 7776094; 9266373; 9499414; 9578969; 9932958; 11134486; 11524729; 18523805; 18054510; 20376488; 20429031; 21325261; 21500142 
ACADSB,2-methylbutyryl-CoA dehydrogenase deficiency,AR,N/A,Biochemical,"The clinical relevance of the condition is unclear, though some have stated that special attention may be necessary in situations involving potential metabolic decompensation",10832746; 12837870; 16317551; 17883863; 17945527; 20547083; 21290185 
ACADVL,"Acyl-CoA dehydrogenase, very long chain, deficiency of",AR,Pediatric,Biochemical; Cardiovascular; Gastrointestinal; Musculoskeletal; Neurologic; Renal,"There are multiple forms of VLCAD deficiency, and interventions depend on the form (typical medical/dietary therapy includes IV glucose/carnitine in initial phases, as well as low-fat, diet with MCT oil and carnitine, and avoidance of fasting); In the severe, early-onset form, medical treatment of cardiomyopathy may be beneficial; In thechildhood onset form, treatment of hypoketotic hypoglycemia may be beneficial; In the adult-onset, myopathic form, preventive measures related to with irhabdomyolysis, and myoglobinuria after exercise or fasting may be beneficial",4022672; 2059253; 2000272; 1527994; 8422439; 8356011; 8145917; 7668252; 7769092; 7479827; 8739959; 8554073; 9709714; 9877038; 9546340; 9973285; 10077518; 10790204; 11158518; 11524729; 15210884; 17636072; 19327992; 19208414; 19399638; 19452263; 21531094; 21814341; 22847164; 23480858
ACAN,"Spondyloepimetaphyseal dysplasia, aggrecan type; Spondyloepiphyseal dysplasia, Kimberley type; Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans",AD,N/A,Craniofacial; Endocrine; Musculoskeletal,Individuals have been described as benefiting from growth hormone treatment,14353963; 14216462; 7331787; 3968094; 1978986; 16080123; 18226555; 19110214; 20137779; 27710243; 28331218; 30124491
ACAT1,Alpha-methylacetoacetic aciduria,AR,Pediatric,Biochemical; Neurologic,"Individuals typically present with hypoglycemic or hyperglycemic ketoacidosis due to fasting, illnesses, and dietary changes (eg, increased protein), which can result in severe neurologic sequelae or death, and diagnosis can allow dietary and medical management (eg, protein restriction and l-carnitine supplementation) to avoid acute crises and subsequent sequelae",4143539; 4690360; 4812006; 8103405; 8103405; 9700610; 15877211; 17236799; 18511318; 16950638; 20046049; 20157782; 21669895; 23430882; 23920042; 23958592
ACBD5,Retinal dystrophy with leukodystrophy,AR,N/A,Biochemical; Craniofacial; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23105016; 27799409
ACD,"Dyskeratosis congenita, autosomal dominant 6; Dyskeratosis congenita, autosomal recessive 7",AD/AR,Pediatric,Allergy/Immunology/Infectious; Hematologic; Oncologic; Neurologic,"Surveillance (eg, with regularly performed CBC as well as other measures in the presence of concern for hematologic sequelae) for bone marrow failure, as well as surveillance for multiple cancer types (eg, with self-examination and clinical examination), and pulmonary disease may allow early detection and treatment; HSCT may be indicated due to manifestations including leukemia and bone marrow failure; Awareness of infectious risk may allow prompt diagnosis and treatment of infections",25205116; 25233904
ACE,Renal tubular dysgenesis,AR,Pediatric,Endocrine; Renal,"Individuals have been described with severe, early-onset renal and related sequelae, and vasopressin has been described as successfully treating refractory hypotension and anuria; Treatment of low aldosterone (with fludrocortisone) has been described as beneficial",2989970; 1976655; 1328889; 1386652; 8131299; 7909524; 8208911; 8314010; 8675669; 7593601; 9120002; 11076943; 11551873; 11956052; 12666117; 15381116; 15531537; 15277638; 16116425; 22095942; 25899979
ACER3,"Leukodystrophy, progressive, early childhood-onset",AR,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26792856
ACHE,"Blood group, Yt system",BG,Pediatric,Hematologic,"Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",8488842
ACKR1,"Blood group, Duffy system",BG,Pediatric,Hematologic,"Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",6386656; 8248172; 7663520; 7669660; 7705836; 8547665; 9886340; 9746760; 9731074; 10073905; 10570183; 20932074
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,AR,N/A,Audiologic/Otolaryngologic; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",22405087; 25351951; 31106992
ACOX1,Mitchell syndrome,AD,Pediatric,Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Biochemical; Craniofacial; Neurologic; Ophthalmologic,"The condition has been described as manifesting with episodic demyelination, sensorimotor polyneuropathy, and hearing loss, and early diagnosis may allow medical management (eg, immunomodulatory and related treatments have been reported to show some clinical benefits in individuals)",2894756; 8040306; 8279468; 11815777; 17458872; 18536048; 32169171
ACOX2,"Bile acid synthesis defect, congenital, 6",AR,Pediatric,Gastrointestinal,"Individuals have been described with hepatic dysfunction, and avoidance of hepatotoxic agents and medical management (eg, with cholestyramine) has been described as beneficial",27647924; 27884763
ACP4,"Amelogenesis imperfecta, type IJ",AR,N/A,Dental,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",27843125
ACP5,Spondyloenchondrodysplasia with immune dysregulation,AR,Pediatric,Allergy/Immunology/Infectious; Endocrine; Musculoskeletal; Neurologic,"Individuals may have immune deficiency, and a variety of infections have been reported, including pneunomia, upper respiratory infections, and severe varicella infections, and thus antiinfectious prophylaxis and  early and aggressive treatment of infections may be beneficial; Individuals may also have a variety of autoimmune manifestations, including hypothyroidism, and treatment may be beneficial",12786759; 17497723; 17163538; 18924170; 21217755; 21217752; 26854080; 26951490
ACSF3,Combined malonic and methylmalonic aciduria,AR,Pediatric,Biochemical; Neurologic,"Although the optimal treatment (as well as the requirement thereof) is currently unclear, additional monitoring may be warranted to determine whether medical management would be beneficial",9700595; 21785126; 21841779; 30740739
ACSL4,"Mental retardation, X-linked 63",XL,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10854107; 11889465; 12525535
ACTA1,"Myopathy, congenital, with fiber-type disproportion 1; Nemaline myopathy 3; Myopathy, scapuloperoneal",AD/AR,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",4952447; 9185179; 10508519; 11333380; 15520409; 15468086; 16427282; 19553116; 22442437; 25938801
ACTA2,"Moyamoya disease 5; Multisystemic smooth muscle dysfunction syndrome; Aortic aneurysm, familial thoracic 6",AD,Pediatric,Cardiovascular; Dermatologic; Musculoskeletal; Neurologic; Ophthalmologic,"Surveillance for cardiovascular complications (eg, aortic aneurysm), as well as related preventive measures to help control contributory factors may reduce morbidity and mortality by allowing early diagnosis and treatment; There has been a reported increased risk of aortic dissection with minimal aortic dilatation during the pregnancies of affected women, and awareness may allow monitoring and management",17994018; 19409525; 22051261; 22302747; 24243736; 29300374
ACTB,Baraitser-Winter syndrome 1,AD,Pediatric,Audiologic/Otolaryngologic; Cardiovascular; Craniofacial; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Though the condition may be recognizable, early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",3351890; 12325076; 16685646; 22366783; 23649928; 25052316; 30921093
ACTC1,"Cardiomyopathy, dilated, 1R; Cardiomyopathy, familial hypertrophic 11; Atrial septal defect 5",AD,Pediatric,Cardiovascular,"Surveillance (including with electrocardiogram and echocardiogram), preventive measures, and medical management of cardiomyopathies may be helpful to help decrease morbidity and mortality",9563954; 10330430; 10966831; 6267253; 17611253; 18467357; 18506004; 17947298; 20301486; 20301725; 21239446 
ACTG1,Baraitser-Winter syndrome 2,AD,Pediatric,Audiologic/Otolaryngologic;Cardiovascular; Craniofacial; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Though the condition may be recognizable, early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",5654493; 3351890; 12519370; 14684684; 13680526; 16773128; 19477959; 22366783; 25052316
ACTG2,Visceral myopathy,AD,Pediatric,Gastrointestinal; Genitourinary; Neurologic,"Individuals have been described as presenting with findings including chronic intestinal pseudo-obstruction and related abdominal signs and symptoms, and genetic knowledge may help avoid unnecessary surgery (medical management has been described as at least partially effective in some individuals); TPN and urinary catheterization may be beneficial",19098683; 24676022; 24777424
ACTL6B,Intellectual developmental disorder with severe speech and ambulation defects; Developmental and epileptic encephalopathy 76,AD/AR,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26539891; 30237576; 30656450; 31031012; 31134736
ACTN1,"Bleeding disorder, platelet-type, 15",AD,N/A,Hematologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23434115
ACTN2,"Cardiomyopathy, dilated, 1AA, with or without left ventricular noncompaction; Cardiomyopathy, hypertrophic 23, with or without left ventricular noncompaction; Myopathy, congenital with structured cores and Z-line abnormalities",AD,Pediatric,Cardiovascular; Musculoskeletal,Preventive measures and medical management of cardiomyopathy may be helpful to help decrease morbidity and mortality,14567970; 20301486; 20022194; 20301725; 25173926; 25224718; 30701273; 30900782
ACTN3,ACTN3 deficiency,AR,N/A,Musculoskeletal,The clinical relevance is unclear,10192379; 11845199; 12879365; 15886711; 17033684; 17627799; 17828264
ACTN4,Focal segmental glomerulosclerosis 1,AD,Pediatric,Renal,"The condition can involve renal failure, and early diagnosis may enable management considerations; Renal transplant has been described",10700177; 15208719; 19142020; 19357256; 19666657
ACVR1,Fibrodysplasia ossificans progressiva,AD,N/A,Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8758048; 17077940; 16642017; 17351709; 18830232; 19330033; 24259422
ACVR2B,"Heterotaxy, visceral, 4, autosomal",AD,N/A,Cardiovascular; Gastrointestinal; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",9916847
ACVRL1,"Telangiectasia, hereditary hemorrhagic, type 2",AD,Pediatric,Cardiovascular; Dermatologic; Gastrointestinal; Hematologic; Pulmonary,"There are a number of surveillance/preventive/treatment based measures; These include: epistaxis treatment with humidification, lubricants, hormone therapy, anti-fibrinolytic agents, ablation, surgery, etc.; GI bleeding: iron replacement, hormonal or anti-fibrinolytic medication, surgery, etc.; Pulmonary AVM: catheter occlusion, and preventive measures such as antibiotic prophylaxis; symptomatic cerebral AVMs: surgery/embolotherapy, etc;  Severe hepatic AVMs: liver transplantation if medical management fails; Specific pregnancy-related screening may be indicated; Anemia: Iron replacement or transfusion; Avoidance of certain activities and use of anticoagulant and anti-inflammatory agents (including aspirin) in the case of significant bleeding; For PAH, medical therapy (eg, prostanoids, endothelin receptor antagonists, etc.) may be beneficial, but lung transplantation may be indicated",5037289; 3186989; 8640225; 10946360; 9354504; 11170071; 11484689; 14684682; 16470787; 16155196; 6542389; 17786384; 18498373; 18831062; 18312453; 19439755; 20056902; 20301525
ACY1,Aminoacylase 1 deficiency,AR,N/A,Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16274666; 16465618; 17562838; 20480396; 24117009
ADA,Severe combined immunodeficiency due to adenosine deaminase deficiency,AR,Pediatric,Allergy/Immunology/Infectious; Oncologic,Enzyme treatment (with PEG-ADA) is beneficial; Antiinfectious prophylaxis and early and aggressive treatment of infections are indicated; BMT has been described in many individuals; Surveillance for certain neoplasms may be beneficial,4117384; 46025; 1089883; 978319; 18618; 980079; 477037; 38963; 7436484; 6863546; 3781559; 3946419; 3007108; 3475710; 3807953; 3260944; 2783588; 2166947; 8227344; 8099155; 8051429; 1974554; 8023852; 8120281; 9108404; 10021471; 12089448; 14499267; 16905365; 19638621; 21725047; 21865538; 22153773; 22348551; 22447032; 22791287; 22805442; 22968453; 23118212; 23895897
ADA2,"Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome; Sneddon syndrome",AR,Pediatric,Allergy/Immunology/Infectious; Cardiovascular; Dermatologic,"Among other manifestations, individuals have been described as presenting with hypogammaglobulinemia, as well as recurrent bacterial and viral infections, and immunosuppressive treatment has been described as beneficial, though other manifestations have been described as recalcitrant to these types of therapies; Medical management (eg, with TNF inhibitor) has been described as beneficial.",12804991; 24552284; 24552285; 25075844; 25075847
ADAM10,Reticulate acropigmentation of Kitamura,AD,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23666529
